DATE,PRCP,TMAX,TMIN,RAIN
40909,0,55,41,FALSE
40910,0.43,51,37,TRUE
40911,0.03,53,45,TRUE
40912,0.8,54,42,TRUE
40913,0.05,48,37,TRUE
40914,0.1,40,36,TRUE
40915,0,45,37,FALSE
40916,0,50,37,FALSE
40917,0.17,49,41,TRUE
40918,0.04,43,33,TRUE
40919,0,43,30,FALSE
40920,0,43,29,FALSE
40921,0,41,27,FALSE
40922,0.16,40,33,TRUE
40923,0.21,34,26,TRUE
40924,0.1,35,27,TRUE
40925,0.32,38,32,TRUE
40926,0.78,32,27,TRUE
40927,0.6,30,27,TRUE
40928,0.53,45,30,TRUE
40929,0.12,47,38,TRUE
40930,0.24,44,36,TRUE
40931,0,47,34,FALSE
40932,0.34,50,36,TRUE
40933,0.32,48,40,TRUE
40934,0.19,48,34,TRUE
40935,0,44,28,FALSE
40936,0,44,33,FALSE
40937,1.09,49,39,TRUE
40938,0.14,47,43,TRUE
40939,0.07,49,43,TRUE
40940,0.53,48,38,TRUE
40941,0,47,35,FALSE
40942,0,58,36,FALSE
40943,0,60,41,FALSE
40944,0,57,35,FALSE
40945,0,61,35,FALSE
40946,0.01,60,46,TRUE
40947,0.11,50,41,TRUE
40948,0.1,52,46,TRUE
40949,0.1,55,44,TRUE
40950,0.03,48,42,TRUE
40951,0.04,47,41,TRUE
40952,0.45,45,40,TRUE
40953,0.1,44,34,TRUE
40954,0,45,33,FALSE
40955,0.07,45,38,TRUE
40956,0.68,50,40,TRUE
40957,0.25,44,39,TRUE
40958,0,44,36,FALSE
40959,0.12,46,35,TRUE
40960,0.03,50,46,TRUE
40961,0.34,50,37,TRUE
40962,0,47,37,FALSE
40963,0.45,44,40,TRUE
40964,0,45,37,FALSE
40965,0.05,41,30,TRUE
40966,0,44,28,FALSE
40967,0.14,44,31,TRUE
40968,0.03,41,34,TRUE
40969,0,43,34,FALSE
40970,0.08,44,39,TRUE
40971,0,54,44,FALSE
40972,0,51,44,FALSE
40973,0.27,46,34,TRUE
40974,0.02,44,32,TRUE
40975,0,48,29,FALSE
40976,0,60,33,FALSE
40977,0.14,49,41,TRUE
40978,0.41,45,43,TRUE
40979,0.54,44,37,TRUE
40980,0.76,47,33,TRUE
40981,0.37,42,33,TRUE
40982,0.34,46,34,TRUE
40983,0.94,52,42,TRUE
40984,0.33,48,39,TRUE
40985,0.37,50,33,TRUE
40986,0.14,41,31,TRUE
40987,0.08,45,30,TRUE
40988,0.14,46,36,TRUE
40989,0.05,48,34,TRUE
40990,0.16,50,35,TRUE
40991,0,54,33,FALSE
40992,0,59,38,FALSE
40993,0,56,36,FALSE
40994,0,55,43,FALSE
40995,0.19,58,44,TRUE
40996,0.05,51,45,TRUE
40997,1.08,50,43,TRUE
40998,0.22,49,41,TRUE
40999,0.52,50,37,TRUE
41000,0.06,48,40,TRUE
41001,0,62,40,FALSE
41002,0.06,53,38,TRUE
41003,0,51,37,FALSE
41004,0.18,49,37,TRUE
41005,0.01,52,38,TRUE
41006,0,61,35,FALSE
41007,0,70,45,FALSE
41008,0,68,43,FALSE
41009,0,64,48,FALSE
41010,0.09,52,45,TRUE
41011,0.02,57,42,TRUE
41012,0,59,39,FALSE
41013,0,60,38,FALSE
41014,0,61,45,FALSE
41015,0.32,56,44,TRUE
41016,0.07,50,40,TRUE
41017,0.07,56,45,TRUE
41018,0.43,57,41,TRUE
41019,0.26,56,44,TRUE
41020,0,68,40,FALSE
41021,0,74,47,FALSE
41022,0,71,48,FALSE
41023,0.17,57,50,TRUE
41024,0.42,62,48,TRUE
41025,0.15,57,44,TRUE
41026,0.03,56,43,TRUE
41027,0,61,47,FALSE
41028,0.17,60,48,TRUE
41029,0.17,55,45,TRUE
41030,0.02,53,43,TRUE
41031,0.02,56,42,TRUE
41032,0.73,52,45,TRUE
41033,0.07,54,43,TRUE
41034,0,56,41,FALSE
41035,0,64,41,FALSE
41036,0,75,43,FALSE
41037,0,65,49,FALSE
41038,0,56,44,FALSE
41039,0,58,39,FALSE
41040,0,65,40,FALSE
41041,0,76,44,FALSE
41042,0,78,49,FALSE
41043,0,80,55,FALSE
41044,0,76,49,FALSE
41045,0,67,49,FALSE
41046,0,64,44,FALSE
41047,0,60,46,FALSE
41048,0,67,45,FALSE
41049,0.25,58,53,TRUE
41050,0.55,62,50,TRUE
41051,0.24,55,48,TRUE
41052,0.01,58,48,TRUE
41053,0,63,48,FALSE
41054,0,72,48,FALSE
41055,0,72,48,FALSE
41056,0,63,53,FALSE
41057,0,62,50,FALSE
41058,0,61,46,FALSE
41059,0.01,66,52,TRUE
41060,0.15,64,54,TRUE
41061,0.26,68,55,TRUE
41062,0.01,66,51,TRUE
41063,0,63,49,FALSE
41064,0.05,55,48,TRUE
41065,0.63,56,47,TRUE
41066,0,61,43,FALSE
41067,0.65,61,48,TRUE
41068,0.06,59,47,TRUE
41069,0,63,47,FALSE
41070,0,66,50,FALSE
41071,0,74,50,FALSE
41072,0.03,65,55,TRUE
41073,0,61,52,FALSE
41074,0,63,50,FALSE
41075,0,72,49,FALSE
41076,0,70,59,FALSE
41077,0,66,53,FALSE
41078,0.12,63,50,TRUE
41079,0.04,67,50,TRUE
41080,0,76,50,FALSE
41081,0,75,53,FALSE
41082,0.62,57,53,TRUE
41083,0.34,60,49,TRUE
41084,0,67,49,FALSE
41085,0.02,67,52,TRUE
41086,0,65,51,FALSE
41087,0,73,48,FALSE
41088,0,72,53,FALSE
41089,0.01,71,59,TRUE
41090,0.12,68,56,TRUE
41091,0,68,54,FALSE
41092,0.08,66,53,TRUE
41093,0.23,65,51,TRUE
41094,0,69,49,FALSE
41095,0,76,51,FALSE
41096,0,77,52,FALSE
41097,0,80,55,FALSE
41098,0,83,58,FALSE
41099,0.06,77,55,TRUE
41100,0,75,52,FALSE
41101,0,82,56,FALSE
41102,0,78,56,FALSE
41103,0.02,74,57,TRUE
41104,0,77,59,FALSE
41105,0,66,56,FALSE
41106,0.01,79,56,TRUE
41107,0,71,59,FALSE
41108,0,70,58,FALSE
41109,0,77,58,FALSE
41110,0.6,67,57,TRUE
41111,0,75,57,FALSE
41112,0.04,69,54,TRUE
41113,0,66,52,FALSE
41114,0,74,54,FALSE
41115,0,80,55,FALSE
41116,0,78,55,FALSE
41117,0,66,57,FALSE
41118,0,72,56,FALSE
41119,0,73,59,FALSE
41120,0,67,56,FALSE
41121,0,73,57,FALSE
41122,0,75,56,FALSE
41123,0,74,54,FALSE
41124,0,81,55,FALSE
41125,0,93,62,FALSE
41126,0,93,64,FALSE
41127,0,83,60,FALSE
41128,0,70,59,FALSE
41129,0,72,59,FALSE
41130,0,76,58,FALSE
41131,0,78,54,FALSE
41132,0,83,56,FALSE
41133,0,87,59,FALSE
